train_loss,val_loss,train_acc,val_acc,train_dice,val_dice
0.4287787440872536,0.2711815629372395,0.8085058505850585,0.8595859585958596,0.803727895468008,0.8577783160163317
0.3557292503832054,0.2999791936977397,0.8411341134113411,0.8460846084608461,0.8380567685122882,0.8489279692183417
0.33083272951342413,0.33623650157698415,0.8445094509450946,0.8154815481548154,0.8403349849709774,0.8230705080870153
0.3247676804916586,0.27205919969951003,0.8517101710171017,0.8622862286228623,0.849273980085236,0.8606908237664759
0.3252814496615038,0.26723389087444377,0.8535103510351035,0.8514851485148515,0.8479953018099323,0.8531488359269435
0.32444846809822414,0.3013743753239016,0.851935193519352,0.8613861386138614,0.8485962428677164,0.8611142200794564
0.3078885150857062,0.2525886644070262,0.8591359135913591,0.8775877587758776,0.8562964748291806,0.8676111391296528
0.30127528865094877,0.3098102391678186,0.8638613861386139,0.8343834383438344,0.860826052962758,0.8382105629749217
0.3197307350209551,0.2930364512061343,0.8634113411341134,0.8712871287128713,0.8597333256412333,0.8547214011089859
0.29205953267433965,0.2683982386662014,0.8645364536453646,0.8541854185418541,0.8615357043100741,0.8560478343915675
0.27917268353201696,0.2561326282556587,0.8733123312331234,0.8811881188118812,0.8697559152137694,0.8645075752173464
0.2762037732920917,0.24796280440556692,0.8764626462646264,0.8748874887488749,0.8732809681866978,0.8690833052659153
0.2731957451166278,0.2814061752747674,0.8692619261926192,0.8721872187218722,0.8672136367843695,0.8686235992415465
0.2766240624615354,0.2532917177162119,0.8737623762376238,0.873087308730873,0.8697085006274137,0.8717365234942125
0.2589103453042376,0.28099134797775244,0.8818631863186318,0.8523852385238524,0.8794181863546927,0.8550587474726716
0.26045240697884325,0.2617957187492927,0.8807380738073808,0.8703870387038704,0.8789077076234486,0.8689463997519395
0.29067841158805935,0.254388461648935,0.8746624662466247,0.8847884788478848,0.8706838847105194,0.8784864338678734
0.2659755566439899,0.2412184237977817,0.8796129612961296,0.8928892889288929,0.8762180689750718,0.884374723634098
0.2491411381375135,0.2620928948736749,0.8764626462646264,0.8667866786678667,0.8734711244281426,0.8660736064374159
0.24613600971997052,0.3016047152337676,0.8825382538253825,0.8406840684068407,0.8794760260479503,0.8462792797070161
0.23604440463758825,0.2581268454810502,0.8879387938793879,0.8838883888388839,0.8862124164107137,0.8767609124887823
0.2734117510684109,0.24991876245027828,0.8814131413141314,0.8937893789378938,0.8785670038611693,0.8871210246928048
0.2761714088015466,0.2584609407814208,0.8683618361836184,0.891989198919892,0.8669419843497812,0.8791934375653528
0.2393523566257192,0.25194038784686346,0.8861386138613861,0.8784878487848785,0.8837303310487364,0.8753308607448713
0.2350664849516296,0.2545437404263889,0.8861386138613861,0.8847884788478848,0.8834313963724187,0.876936656803053
0.2248851116394589,0.29287944188212406,0.8967146714671467,0.8370837083708371,0.8931792053425975,0.8417800228119154
0.2264314228140696,0.2714883864837976,0.889063906390639,0.8766876687668766,0.8869118651138818,0.871401461545446
0.23235615280487856,0.24125213393963316,0.8865886588658866,0.8955895589558955,0.8836229636177191,0.8850636229418971
0.22504856139019092,0.2670606435901082,0.898064806480648,0.8505850585058505,0.8946164343928296,0.8540538237087911
0.2309333105461754,0.2612217386411612,0.8960396039603961,0.8856885688568857,0.8931486373644265,0.8819234778697853
0.22284915885015397,0.2570123569209977,0.8962646264626463,0.8865886588658866,0.8937485191127974,0.8786932431425933
0.19695027090749903,0.26786714792251587,0.9041404140414041,0.8514851485148515,0.901444251135483,0.8537980683324382
0.21253268247005855,0.2608250595770045,0.8987398739873987,0.8847884788478848,0.8943993265545374,0.8813926987350938
0.20750525947844628,0.3111723244431639,0.8953645364536453,0.873087308730873,0.8931346771433877,0.8698067276544863
0.2231664954006511,0.2496247667245882,0.8976147614761476,0.8712871287128713,0.8949784575094308,0.8694948660393447
0.21256816667495387,0.2823738055010297,0.9034653465346535,0.8577857785778578,0.8994351400646633,0.8593258638897192
0.19621789468826203,0.2640044087901188,0.9025652565256526,0.8856885688568857,0.9007486708765787,0.8802985067354647
0.18793946908305723,0.2570598231013244,0.9086408640864087,0.891989198919892,0.9064279096328527,0.8862156120280735
0.1849946282824131,0.27467432606070025,0.9142664266426642,0.8874887488748875,0.911011140895155,0.8839138089406001
0.18022340801682804,0.27178120934995414,0.914041404140414,0.864986498649865,0.9115530602708813,0.862672536075096
